cycle,input_fire,sample_index,channel_id,sample_u16,fault_active,input_ready,mode,q_shift,current_mad,cfg_t_low,cfg_t_high,quantized,dptc_delta,bit_width,is_absolute,packer_byte_valid,packer_byte,m_axis_tvalid,m_axis_byte,m_axis_tlast,fifo_level,fifo_full,overflow
143,1,137,2,8487,1,1,0,0,1747,0,65535,8489,-1,2,0,1,255,1,192,0,1,0,0
144,1,138,2,8486,1,1,0,0,1692,0,65535,8488,-1,2,0,0,0,1,1,0,1,0,0
145,1,139,2,8485,1,1,0,0,1583,0,65535,8487,-1,2,0,0,0,1,0,0,1,0,0
146,1,140,2,8483,1,1,0,0,1419,0,65535,8486,-1,2,0,0,0,1,14,0,1,0,0
147,1,141,2,8482,1,1,0,0,1200,0,65535,8485,-1,2,0,1,255,1,0,0,1,0,0
148,1,142,2,8480,1,1,0,0,927,0,65535,8483,-1,2,0,0,0,1,0,0,1,0,0
149,1,143,2,8478,1,1,0,0,600,0,65535,8482,-2,3,0,0,0,1,0,0,1,0,0
150,1,144,2,8476,1,1,0,0,221,0,65535,8480,-1,2,0,1,223,1,0,0,1,0,0
151,1,145,2,8474,1,1,0,0,4,0,65535,8478,-2,3,0,0,0,1,0,0,1,0,0
152,1,146,2,8471,1,1,0,0,5,0,65535,8476,-2,3,0,0,0,1,99,0,1,0,0
153,1,147,2,8469,1,1,0,0,5,0,65535,8474,-2,3,0,1,219,1,12,0,1,0,0
154,1,148,2,8466,1,1,0,0,5,0,65535,8471,-2,3,0,0,0,1,131,0,1,0,0
155,1,149,2,8463,1,1,0,0,6,0,65535,8469,-3,4,0,0,0,1,1,0,1,0,0
156,1,150,2,8460,1,1,0,0,6,0,65535,8466,-2,3,0,1,118,1,0,0,1,0,0
157,1,151,2,8457,1,1,0,0,7,0,65535,8463,-3,4,0,0,0,1,0,0,1,0,0
158,1,152,2,8454,1,1,0,0,8,0,65535,8460,-3,4,0,1,187,1,1,0,1,0,0
159,1,153,2,8451,1,1,0,0,8,0,65535,8457,-3,4,0,0,0,1,65,0,1,0,0
160,1,154,2,8448,1,1,0,0,9,0,65535,8454,-3,4,0,1,187,1,32,0,1,0,0
161,1,155,2,8445,1,1,0,0,10,0,65535,8451,-3,4,0,0,0,1,8,0,1,0,0
162,1,156,2,8442,1,1,0,0,10,0,65535,8448,-3,4,0,1,187,1,248,0,1,0,0
163,1,157,2,8439,1,1,0,0,10,0,65535,8445,-3,4,0,0,0,1,212,1,0,0,0
164,1,158,2,8436,1,1,0,0,11,0,65535,8442,-3,4,0,1,187,0,212,0,0,0,0
165,1,159,2,8433,1,1,0,0,11,0,65535,8439,-3,4,0,0,0,0,212,0,0,0,0
166,1,160,2,8430,1,1,0,0,11,0,65535,8436,-3,4,0,1,187,0,212,0,0,0,0
167,1,161,2,8427,1,1,0,0,12,0,65535,8433,-3,4,0,0,0,0,212,0,0,0,0
168,1,162,2,8425,1,1,0,0,12,0,65535,8430,-3,4,0,1,187,0,212,0,0,0,0
169,1,163,2,8422,1,1,0,0,12,0,65535,8427,-3,4,0,0,0,0,212,0,0,0,0
170,1,164,2,8420,1,1,0,0,12,0,65535,8425,-3,4,0,1,187,0,212,0,0,0,0
171,1,165,2,8418,1,1,0,0,12,0,65535,8422,-2,3,0,0,0,0,212,0,0,0,0
172,1,166,2,8416,1,1,0,0,12,0,65535,8420,-3,4,0,1,219,0,212,0,0,0,0
173,1,167,2,8414,1,1,0,0,11,0,65535,8418,-2,3,0,0,0,0,212,0,0,0,0
174,1,168,2,8413,1,1,0,0,11,0,65535,8416,-2,3,0,0,0,0,212,0,0,0,0
175,1,169,2,8411,1,1,0,0,11,0,65535,8414,-2,3,0,1,109,0,212,0,0,0,0
